index,n_cells
D15Ertd621e,722
D16Ertd472e,652
D17Wsu104e,1050
D17Wsu92e,939
D19Bwg1357e,764
D19Ertd737e,821
D19Wsu162e,744
D230037D09Rik,763
D2Wsu81e,601
D4Ertd22e,977
D4Wsu53e,1152
D8Ertd738e,1196
D930014E17Rik,617
Daam1,736
Dad1,1192
Dalrd3,708
Dap,838
Dap3,1016
Dapk3,871
Dars,922
Daxx,609
Dazap1,1123
Dazap2,1162
Dbi,1191
Dbndd2,761
Dbnl,1084
Dcaf11,849
Dcaf12,905
Dcaf13,642
Dcaf7,826
Dcaf8,775
Dcn,645
Dcps,650
Dctn1,909
Dctn2,1125
Dctn3,1159
Dctn4,621
Dctn6,707
Dctpp1,916
Dcun1d1,972
Dcun1d5,1115
Dcxr,708
Dda1,1004
Ddb1,1126
Ddit3,660
Ddit4,736
Ddost,1111
Ddr1,701
Ddrgk1,1135
Ddt,967
Ddx1,961
Ddx10,642
Ddx17,1015
Ddx18,904
Ddx19a,638
Ddx21,1080
Ddx24,1113
Ddx27,827
Ddx39,935
Ddx39b,1107
Ddx3x,1175
Ddx41,814
Ddx42,847
Ddx46,1010
Ddx47,806
Ddx49,781
Ddx5,1196
Ddx50,855
Ddx54,984
Ddx56,699
Ddx6,1037
Deb1,897
Dedd2,718
Degs1,769
Dek,1109
Denr,1162
Dera,693
Derl1,1100
Derl2,828
Dexi,613
Dgat2,762
Dgcr2,817
Dgcr6,994
Dgka,714
Dguok,821
Dhcr24,733
Dhps,666
Dhrs1,760
Dhrs3,811
Dhrs4,795
Dhrs7,696
Dhrs7b,663
Dhrsx,868
Dhx15,1109
Dhx32,697
Dhx40,631
Dhx9,854
Diablo,920
Diap1,754
Dido1,645
Dip2b,792
Dkc1,695
Dlat,704
Dld,926
Dlgap4,820
Dlst,894
Dmkn,729
Dnaja1,1161
Dnaja2,1177
Dnaja3,725
Dnajb1,1125
Dnajb11,1040
Dnajb2,732
Dnajb4,845
Dnajb6,1179
Dnajb9,860
Dnajc1,842
Dnajc10,622
Dnajc13,603
Dnajc14,692
Dnajc15,1060
Dnajc19,1091
Dnajc2,984
Dnajc21,842
Dnajc3,1081
Dnajc30,662
Dnajc4,736
Dnajc5,870
Dnajc7,1038
Dnajc8,1146
Dnajc9,689
Dnlz,989
Dnm1l,850
Dnm2,1006
Dnmt1,600
Dnpep,846
Dnttip1,677
Dnttip2,904
Dock8,723
Dohh,1020
Dpcd,877
Dpf2,713
Dph3,1137
Dpm1,1013
Dpm2,863
Dpm3,1136
Dpp3,809
Dpp9,612
Dpy30,1143
Dr1,666
Dram2,682
Drap1,1167
Drg1,937
Drg2,648
Dsp,829
Dstn,1166
Dtd1,769
Dtnbp1,815
Dtymk,810
Dus1l,692
Dusp1,1098
Dusp11,1131
Dusp16,606
Dusp22,692
Dusp6,703
Dusp7,735
Dut,660
Dync1h1,953
Dync1i2,1085
Dync1li2,714
Dynll1,1191
Dynll2,1001
Dynlrb1,1189
Dynlt3,1084
Dyrk1a,653
E130309D02Rik,603
E2f4,875
Eaf1,610
Eapp,912
Ebna1bp2,1055
Ebp,977
Ebpl,629
Ecd,664
Ece1,771
Ech1,1134
Echs1,1075
Eci1,847
Eci2,829
Ecm1,638
Edem1,756
Edem2,775
Edf1,1195
Eea1,900
Eed,744
Eef1a1,1196
Eef1b2,1196
Eef1d,1194
Eef1e1,957
Eef1g,1195
Eef2,1196
Eef2k,657
Efha1,688
Efhd2,874
Efna1,712
Efna5,610
Efnb1,702
Efnb2,629
Efr3a,840
Eftud2,707
Egln2,905
Egln3,641
Egr1,978
Ehd1,900
Ehd4,905
Ehf,743
Ehmt1,641
Ehmt2,769
Ei24,1050
Eid1,741
Eif1,1196
Eif1a,1095
Eif1ad,1008
Eif1ax,1123
Eif1b,854
Eif2a,1047
Eif2b1,763
Eif2b2,801
Eif2b4,715
Eif2b5,806
Eif2d,707
Eif2s1,1116
Eif2s2,1194
Eif2s3x,1077
Eif3a,1189
Eif3b,1145
Eif3c,1175
Eif3d,1111
Eif3e,1189
Eif3f,1196
Eif3g,1175
Eif3h,1195
Eif3i,1186
Eif3k,1195
Eif3l,1162
Eif3m,1184
Eif4a1,1196
Eif4a2,1171
Eif4a3,1009
Eif4b,1177
Eif4e,1111
Eif4e2,1119
Eif4ebp1,1026
Eif4enif1,629
Eif4g1,1162
Eif4g2,1196
Eif4g3,865
Eif4h,1154
Eif5,1188
Eif5a,1196
Eif5b,1179
Eif6,1172
Elavl1,1102
Elf1,1117
Elf3,768
Ell2,673
Elof1,1124
Elovl1,1053
Elovl5,750
Elovl6,608
Emb,604
Emd,1079
Emg1,1123
Eml4,651
Emp1,853
Emp2,846
Endod1,642
Endog,656
Ensa,750
Entpd4,724
Entpd5,767
Eny2,1145
Ep400,814
Epb4.1,704
Epcam,795
Epha2,771
Epn1,1104
Eprs,1074
Eps15,739
Eps8l2,817
Erbb2ip,875
Ercc1,625
Erdr1,989
Erf,722
Ergic1,717
Ergic2,998
Ergic3,1176
Erh,1189
Eri3,744
Erlec1,717
Erlin1,617
Ermp1,718
Ero1l,770
Erp29,1164
Erp44,1086
Errfi1,770
Esd,1182
Esf1,884
Esrp1,725
Esrra,661
Esyt2,712
Etf1,1169
Etfa,1135
Etfb,1173
Etfdh,640
Ethe1,960
Etnk1,680
Ets2,870
Etv3,601
Evpl,642
Ewsr1,1176
Exoc3,777
Exoc5,847
Exosc1,765
Exosc3,811
Exosc4,795
Exosc5,899
Exosc6,862
Exosc7,804
Exosc8,605
Ext2,716
Ezh2,719
Ezr,1140
F11r,902
F3,765
Fabp5,1005
Faf1,944
Faf2,728
Faim,804
Fam100a,904
